source,text,created,compound,positive,negative,neutral,tweets ago
@BBCBreaking,"Cranberries singer Dolores O'Riordan died by drowning due to alcohol intoxication, inquest told https://t.co/CdevEV5EYs",Thu Sep 06 10:35:28 +0000 2018,-0.5574,0.0,0.217,0.783,86
@BBCBreaking,Gay sex is no longer a crime in India after a historic verdict by the Supreme Court https://t.co/GnrdzPPSuF,Thu Sep 06 06:28:06 +0000 2018,-0.128,0.227,0.249,0.524,87
@BBCBreaking,"""This was not a rogue operation""

UK PM Theresa May says suspects in Salisbury poisoning investigation were Russian… https://t.co/MbTg37F5H6",Wed Sep 05 12:11:06 +0000 2018,-0.7351,0.0,0.279,0.721,88
@BBCBreaking,"Two Salisbury attack suspects are believed to be Russian military intelligence officers, UK PM Theresa May says https://t.co/cC5Plpg7J4",Wed Sep 05 12:05:07 +0000 2018,-0.34,0.131,0.233,0.636,89
@BBCBreaking,"UK police name two Russian nationals saying there is ""sufficient evidence"" to charge them over Salisbury attack https://t.co/SXGLXtBgPY",Wed Sep 05 10:09:08 +0000 2018,-0.4767,0.0,0.154,0.846,90
@BBCBreaking,"Rachael Bland, BBC presenter who won praise for her honest portrayal of cancer in her blog and podcast, dies aged 4… https://t.co/90T6zvn51D",Wed Sep 05 10:01:06 +0000 2018,0.7351,0.321,0.133,0.545,91
@BBCBreaking,UK Labour’s ruling body the NEC to adopt in full an international definition of anti-Semitism after months of rows https://t.co/crqNidbgLk,Tue Sep 04 16:23:45 +0000 2018,0.1779,0.082,0.0,0.918,92
@BBCBreaking,"Founder of Afghan militant network Jalaluddin Haqqani is dead after years of illness, the Taliban announces https://t.co/WL9DGkEoDd",Tue Sep 04 04:05:29 +0000 2018,-0.7906,0.0,0.318,0.682,93
@BBCBreaking,"2018 was joint-hottest summer on record for UK as a whole and the hottest for England, Met Office says https://t.co/dbKp5lDVPR",Mon Sep 03 12:16:16 +0000 2018,0.0,0.0,0.0,1.0,94
@BBCBreaking,Chris Evans reveals live on air he is to leave Radio 2 breakfast show after eight years at the helm https://t.co/xgzFkesyme,Mon Sep 03 07:14:50 +0000 2018,-0.0516,0.0,0.059,0.941,95
@BBCBreaking,Myanmar jails two Reuters journalists for seven years over their investigation into violence against Rohingyas https://t.co/csKrk4XPxD,Mon Sep 03 04:08:27 +0000 2018,-0.6249,0.0,0.215,0.785,96
@BBCBreaking,"One of Latin America's largest natural history museums, in Brazil's Rio de Janeiro, has been hit by a massive fire https://t.co/hXegQI4Lsk",Mon Sep 03 00:43:10 +0000 2018,0.0258,0.109,0.105,0.786,97
@BBCBreaking,"Up in flames - dramatic images of fire at the Littlewoods Pools building, one of Liverpool's most famous landmarks https://t.co/sXBSryMSmE",Sun Sep 02 21:45:33 +0000 2018,-0.34,0.0,0.118,0.882,98
@BBCBreaking,"Janbaz Tarin, 21, charged with murders of Raneem Oudeh and her mother Khaola Saleem in Solihull https://t.co/rKisbSWW2S",Fri Aug 31 21:55:30 +0000 2018,-0.7003,0.0,0.279,0.721,99
@BBCBreaking,"The United States is ending all funding for the UN's Palestinian refugee agency, the State Department says https://t.co/V2RJe5Mtft",Fri Aug 31 20:16:13 +0000 2018,0.4215,0.141,0.0,0.859,100
@CBSNews,GARBAGE LOCKS AND THE THREE BEARS: These firefighters were determined to confront whoever was ransacking their garb… https://t.co/qmhLQPkF94,Tue Oct 02 20:40:08 +0000 2018,0.1779,0.119,0.085,0.796,1
@CBSNews,POTSHOTS: Pro-marijuana protesters confronted Maryland Rep. Andy Harris outside his office over his opposition to u… https://t.co/acKAspcBSn,Tue Oct 02 20:19:30 +0000 2018,-0.4019,0.0,0.198,0.802,2
@CBSNews,Four members of a militant white supremacist group from California arrested for allegedly trying to incite a riot a… https://t.co/aKBtg8Eq9d,Tue Oct 02 19:59:51 +0000 2018,-0.7351,0.065,0.289,0.647,3
@CBSNews,"""We listened to our critics"": Jeff Bezos, the richest man in the world, is now supporting the Fight for $15 minimum… https://t.co/4azhZnlB2w",Tue Oct 02 19:39:35 +0000 2018,0.5719,0.226,0.093,0.681,4
@CBSNews,"RT @CBSThisMorning: You’ll be getting a text from President Trump beginning Wednesday at 2:18 p.m. ET -- and no, you can’t opt out: https:/…",Tue Oct 02 19:37:36 +0000 2018,-0.296,0.0,0.091,0.909,5
@CBSNews,"Two packages with suspected ricin sent to Pentagon — one addressed to Defense Secretary James Mattis, the other to… https://t.co/wAwmKaqxqQ",Tue Oct 02 19:19:50 +0000 2018,-0.1027,0.074,0.093,0.833,6
@CBSNews,"""CBS This Morning"" co-hosts share their favorite podcast interviews https://t.co/XO3U1JlYPy https://t.co/8LItumc33V",Tue Oct 02 18:59:59 +0000 2018,0.6369,0.366,0.0,0.634,7
@CBSNews,HAPPENING NOW: President Trump is speaking at a convention in Philadelphia amid Supreme Court fight… https://t.co/aQYYKPpRbF,Tue Oct 02 18:59:35 +0000 2018,0.5574,0.205,0.0,0.795,8
@CBSNews,WATCH: Democratic Senators address Kavanaugh controversy https://t.co/8U8OrI51bu https://t.co/Jxk8XDRyal,Tue Oct 02 18:43:18 +0000 2018,0.0,0.0,0.0,1.0,9
@CBSNews,Kids cost parents most when they're adults https://t.co/yKoDu2eU4j https://t.co/pHgEd4jgoQ,Tue Oct 02 18:39:42 +0000 2018,0.0,0.0,0.0,1.0,10
@CBSNews,WATCH: GOP Senators are addressing the FBI's investigation of Kavanaugh and accusations against him… https://t.co/eDunEYr8fh,Tue Oct 02 18:32:02 +0000 2018,-0.3182,0.0,0.141,0.859,11
@CBSNews,Helicopter called to Penn State tailgate after crowd becomes rowdy https://t.co/QepCAEuZBg https://t.co/fICFVsww2Y,Tue Oct 02 18:19:38 +0000 2018,0.0,0.0,0.0,1.0,12
@CBSNews,4 members of white supremacist group arrested in violent 2017 Charlottesville rally https://t.co/xc6hJHLVXY https://t.co/teljuGsfnn,Tue Oct 02 18:14:47 +0000 2018,-0.7579,0.081,0.378,0.541,13
@CBSNews,"TAILGATE TERROR: When the crowd outside the Penn State-Ohio State game began assaulting police horses, the state po… https://t.co/qb8GmnQlgP",Tue Oct 02 17:58:38 +0000 2018,-0.8143,0.0,0.304,0.696,14
@CBSNews,"President Trump: ""I remember my college days, everybody was drinking. It was like normal. I was abnormal. It was to… https://t.co/5Wj2T3dCDz",Tue Oct 02 17:32:54 +0000 2018,0.3612,0.116,0.0,0.884,15
@CBSNews,President Trump: It's a scary time for young men. https://t.co/T86FLolQGG https://t.co/9Hu3XzYzXV,Tue Oct 02 17:31:10 +0000 2018,-0.4939,0.0,0.262,0.738,16
@CBSNews,"WATCH: Pres. Trump says new trade deal with Canada and Mexico has gotten ""tremendous reviews.""… https://t.co/BB0ldk4W52",Tue Oct 02 17:24:02 +0000 2018,0.0,0.0,0.0,1.0,17
@CBSNews,"RT @CBSThisMorning: As the #CTMPodcast celebrates two years this week, @GayleKing, @jdickerson and @NorahODonnell share their favorite epis…",Tue Oct 02 16:49:55 +0000 2018,0.836,0.372,0.0,0.628,18
@CBSNews,"U.N. nuke agency won't take Israel leader Benjamin Netanyahu's Iran allegations ""at face value""… https://t.co/aIcXZHp9bI",Tue Oct 02 16:44:32 +0000 2018,0.0,0.0,0.0,1.0,19
@CBSNews,WATCH: Rep. Nancy Pelosi addresses Kavanaugh accusations as FBI investigates Supreme Court nominee… https://t.co/Su6kGEq4II,Tue Oct 02 16:34:18 +0000 2018,0.3182,0.201,0.128,0.67,20
@CBSNews,Man wins $1 million in New Jersey lottery using fortune cookie numbers https://t.co/DcxRkf7HbJ https://t.co/ORS9M9ssh0,Tue Oct 02 16:29:54 +0000 2018,0.5719,0.222,0.0,0.778,21
@CBSNews,The first ladies exchanged gifts and sat for a private tea for 30 minutes at Ghana's presidential palace on Tuesday… https://t.co/9jG0U8sHX2,Tue Oct 02 16:15:12 +0000 2018,0.0,0.0,0.0,1.0,22
@CBSNews,"Officials urge citizens not to approach murder suspect Kirby Wallace if seen, but to call authorities… https://t.co/jOTGn6RPlN",Tue Oct 02 16:08:44 +0000 2018,0.1948,0.125,0.084,0.791,23
@CBSNews,WATCH: Officials give an update on the manhunt for a murder suspect accused of killing two people in northern Tenne… https://t.co/cmFOzvRkJI,Tue Oct 02 16:04:53 +0000 2018,-0.926,0.0,0.458,0.542,24
@CBSNews,Hundreds stranded on Baltic Sea ferry after engine failure https://t.co/8GXiZaEEzd https://t.co/rdcIBa0YKd,Tue Oct 02 16:00:53 +0000 2018,-0.5106,0.0,0.248,0.752,25
@CBSNews,Woman blinded in one eye by Brooks Koepka tee shot at Ryder Cup https://t.co/gRdtt4ljFe https://t.co/CSopiVfHX5,Tue Oct 02 15:59:58 +0000 2018,0.0,0.0,0.0,1.0,26
@CBSNews,"""America To Me"": School committed to diversity confronted with its own inequity https://t.co/cxoX1iLjoB https://t.co/OnYA0LqbHj",Tue Oct 02 15:44:38 +0000 2018,0.0772,0.132,0.113,0.755,27
@CBSNews,"Texas surf resort tested after surfer dies from ""brain-eating amoeba"" https://t.co/tSWdQ3Pxj2 https://t.co/WgssCx74Fo",Tue Oct 02 15:30:01 +0000 2018,0.0,0.0,0.0,1.0,28
@CBSNews,Dunkin' Donuts fires workers for dumping water on homeless man https://t.co/UCSmK1jYTs https://t.co/7UVWzUtU3Q,Tue Oct 02 15:14:45 +0000 2018,-0.3182,0.0,0.173,0.827,29
@CBSNews,This 8-year-old girl became a barber before starting 2nd grade. Now she gives free haircuts to neighborhood kids --… https://t.co/oh9Abcagms,Tue Oct 02 15:00:53 +0000 2018,0.5106,0.155,0.0,0.845,30
